ID,ID Utilisateur,Nom Utilisateur,Formation,Clarté,Objectifs,Niveau,Formateur,Matériels,Note Globale,Commentaires
11497,13895,Test Apprenant,Formation Test - Développement Web Avancé,4,5,3,5,5,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
11498,13895,Test Apprenant,Formation Test - Développement Web Avancé,4,3,5,4,3,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
11499,13895,Test Apprenant,Formation Test - Développement Web Avancé,4,4,4,3,4,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
11500,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,5,3,3,5,4,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
11501,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,4,4,3,3,3,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
11502,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,3,5,5,5,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
11503,13895,Test Apprenant,Formation Test - Développement Web Avancé,4,4,5,4,5,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
11504,13895,Test Apprenant,Formation Test - Développement Web Avancé,3,4,3,3,4,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
11505,13895,Test Apprenant,Formation Test - Développement Web Avancé,3,3,4,5,3,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
11506,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,5,5,5,4,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
11507,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,3,5,4,3,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
11508,13895,Test Apprenant,Formation Test - Cybersécurité Fondamentale,5,4,3,4,4,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
11509,14491,Walid Bouhamed,ITIL 4 Foundation - Gestion des Services IT,3,3,5,5,5,4,Formation très intéressante et enrichissante.
11510,14488,Wael Ezzine,ITIL 4 Foundation - Gestion des Services IT,5,4,4,3,4,5,"Contenu bien structuré, formateur compétent."
11511,14730,Salah Fkih,ITIL 4 Foundation - Gestion des Services IT,4,4,4,5,5,5,Formation très intéressante et enrichissante.
11512,14563,Bochra Fatnassi,ITIL 4 Foundation - Gestion des Services IT,4,3,5,5,5,4,"Contenu bien structuré, formateur compétent."
11513,14565,Rami Mejri,ITIL 4 Foundation - Gestion des Services IT,4,4,4,4,5,3,"Contenu bien structuré, formateur compétent."
11514,14670,Karim Nabli,ITIL 4 Foundation - Gestion des Services IT,5,4,3,5,4,5,Formation très intéressante et enrichissante.
11515,14587,Hajer Mestiri,ITIL 4 Foundation - Gestion des Services IT,5,5,5,4,5,3,Formation très intéressante et enrichissante.
11516,14638,Zouheir Hamza,ITIL 4 Foundation - Gestion des Services IT,5,3,4,5,5,5,"Contenu bien structuré, formateur compétent."
11517,14659,Hichem Mabrouk,ITIL 4 Foundation - Gestion des Services IT,4,4,4,3,3,4,"Contenu bien structuré, formateur compétent."
11518,14662,Cyrine Hachicha,ITIL 4 Foundation - Gestion des Services IT,3,4,3,4,5,3,"Contenu bien structuré, formateur compétent."
11519,14560,Hiba Gharbi,ITIL 4 Foundation - Gestion des Services IT,4,4,3,3,4,3,Formation très intéressante et enrichissante.
