ID,Titre,ID Formateur,Nom Formateur,Date,Nombre de participants,Nombre de sessions
291,Formation Test - Développement Web Avancé,15052,Test Formateur,2025-04-03,151,3
292,Formation Test - Cybersécurité Fondamentale,15052,Test Formateur,2025-03-11,76,3
293,Formation Test - Développement Web Avancé,15052,Test Formateur,2025-05-15,82,3
294,Formation Test - Cybersécurité Fondamentale,15052,Test Formateur,2025-04-03,103,3
295,ITIL 4 Foundation - Gestion des Services IT,15153,Dalila Gasmi,2025-02-28,103,3
296,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",15107,Bilel Ktari,2025-05-30,105,5
297,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",15168,Mehdi Chebbi,2025-01-07,106,5
298,"ITIL 4 Strategist: Direct, Plan and Improve",15052,Test Formateur,2025-05-15,118,4
299,DevOps Foundation,15070,Adel Hamdi,2025-05-30,81,4
300,AWS Certified Solutions Architect - Associate,15109,Zeineb Gabsi,2025-04-26,91,5
301,Microsoft Azure Administrator,15141,Jamel Mrad,2025-01-07,86,5
302,Google Cloud Professional Cloud Architect,15093,Fadia Bouhamed,2024-12-31,89,5
303,Scrum Master Certified,15101,Olfa Bouhamed,2025-02-02,90,3
304,Project Management Professional (PMP),15159,Najoua Hamdi,2025-02-13,94,5
305,Certified Information Systems Security Professional (CISSP),15058,Farouk Gharbi,2025-02-13,110,5
306,Data Science avec Python,15167,Wafa Fatnassi,2025-01-02,102,4
307,Blockchain pour les entreprises,15162,Samia Fourati,2024-12-17,64,4
308,Intelligence Artificielle pour managers,15094,Imed Gabsi,2025-01-07,74,5
309,Cybersécurité opérationnelle,15061,Imed Ghanmi,2025-02-22,83,5
