ID,ID Utilisateur,Nom Utilisateur,Email Utilisateur,ID Formation,Titre Formation,Date Formation,Date Achat
23471,21974,Test Apprenant,testapprenant25@gmail.com,415,Formation Test - Développement Web Avancé,2025-05-24,2025-05-20
23472,21974,Test Apprenant,testapprenant25@gmail.com,416,Formation Test - Cybersécurité Fondamentale,2025-04-15,2025-03-31
23473,21974,Test Apprenant,testapprenant25@gmail.com,417,Formation Test - Développement Web Avancé,2025-06-03,2025-06-01
23474,21974,Test Apprenant,testapprenant25@gmail.com,418,Formation Test - Cybersécurité Fondamentale,2025-06-08,2025-05-29
23475,22184,Moncef Bouslama,moncef.bouslama534@live.com,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-20
23476,22154,Sonia Ben Salah,sonia.ben.salah463@topnet.tn,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-22
23477,22204,Makram Hassen,makram.hassen138@orange.tn,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-11
23478,22245,Bilel Bouzid,bilel.bouzid635@live.com,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-20
23479,23078,Chedly Mansouri,chedly.mansouri154@outlook.com,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-30
23480,22964,Hana Horchani,hana.horchani831@hotmail.com,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-18
23481,22962,Yosra Bouslama,yosra.bouslama840@live.com,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-26
23482,22966,Mohamed Jemli,mohamed.jemli381@live.com,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-25
23483,22922,Amira Ben Ali,amira.ben.ali521@laposte.net,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-22
23484,22887,Fethi Chihaoui,fethi.chihaoui507@outlook.com,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-16
23485,22885,Yosra Hadj,yosra.hadj549@hotmail.com,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-28
23486,22903,Wael Hleli,wael.hleli541@live.com,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-18
23487,22910,Rim Mejri,rim.mejri523@laposte.net,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-25
23488,22915,Nour Mrad,nour.mrad173@gmail.com,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-19
23489,22932,Nesrine Daoud,nesrine.daoud619@live.com,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-16
23490,22956,Mariam Chihaoui,mariam.chihaoui272@laposte.net,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-06-03
23491,22756,Thouraya Horchani,thouraya.horchani218@topnet.tn,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-28
23492,22975,Lamia Hamdi,lamia.hamdi425@yahoo.fr,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-27
23493,23061,Ahlem Mansouri,ahlem.mansouri561@laposte.net,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-14
23494,23005,Karima Rekik,karima.rekik86@orange.tn,419,ITIL 4 Foundation - Gestion des Services IT,2025-06-08,2025-05-14
