ID,Nom,Email,Rôle,Téléphone,Pays,Ville,Date de naissance,Centres d'intérêt
25436,Test Apprenant,testapprenant25@gmail.com,apprenant,+21698123456,Tunisie,Tunis,2000-05-06,"Développement web, Cloud computing"
25437,Test Formateur,formateurtest7@gmail.com,formateur,+21697123456,Tunisie,Sfax,1990-02-12,"Gestion de projet, DevOps"
25438,Fadoua Abdelhak,fadoua.abdelhak@polytechnicien.tn,admin,+21696123456,Tunisie,Tunis,1985-05-19,"IT Governance, Formation professionnelle"
25439,Zeineb Mestiri,zeineb.mestiri734@outlook.com,formateur,+21622626628,Tunisie,Nabeul,1994-03-01,"Ressources humaines, Coaching, Développement web, Informatique, Innovation, Cybersécurité"
25440,Youssef Ben Salah,youssef.ben.salah773@yahoo.fr,formateur,+21653180372,Tunisie,Nabeul,1969-08-08,"Finance, Cybersécurité, Intelligence artificielle"
25441,Ghada Landolsi,ghada.landolsi347@gmail.com,formateur,+21655525123,Tunisie,Nabeul,1961-06-06,"IoT, Finance"
25442,Taoufik Hachicha,taoufik.hachicha830@gmail.com,formateur,+21652348148,Tunisie,Jendouba,1990-03-12,"Finance, Stratégie d'entreprise, Analyse de données"
25443,Adel Ouali,adel.ouali951@gmail.com,formateur,+21623871164,Tunisie,Sfax,1991-06-18,"IoT, Communication, Stratégie d'entreprise, Gestion de projet, Technologie"
25444,Fethi Essid,fethi.essid900@hotmail.com,formateur,+21621069365,Tunisie,Médenine,1982-02-02,"E-commerce, Cloud computing, Digital transformation, Blockchain, DevOps, Développement web"
25445,Ali Karoui,ali.karoui172@outlook.com,formateur,+21623729330,Tunisie,Ariana,1984-08-09,"Audit, Entrepreneuriat, Formation professionnelle"
25446,Sonia Jouini,sonia.jouini669@yahoo.fr,formateur,+21691156640,Tunisie,Ariana,1983-01-07,"Technologie, Lean management, E-commerce, Finance"
25447,Cyrine Layouni,cyrine.layouni525@hotmail.com,formateur,+21692740918,Tunisie,Tozeur,1963-03-08,"Entrepreneuriat, IoT, Veille technologique"
25448,Sofiane Gharbi,sofiane.gharbi791@gmail.com,formateur,+21690739951,Tunisie,Jendouba,1994-11-07,"Machine learning, Cybersécurité, Finance, Analyse de données, Technologie"
25449,Ahlem Sellami,ahlem.sellami161@live.com,formateur,+21651036122,Tunisie,Tunis,1977-08-13,"Innovation, Audit, Cybersécurité, Communication, IoT, Cloud computing"
25450,Dali Mejri,dali.mejri413@topnet.tn,formateur,+21628782488,Tunisie,Tataouine,1971-08-25,"Technologie, DevOps, Développement web"
25451,Hedi Dhouib,hedi.dhouib823@topnet.tn,formateur,+21623731266,Tunisie,Tunis,1977-12-13,"Coaching, Qualité, Stratégie d'entreprise"
25452,Marwan Karoui,marwan.karoui625@topnet.tn,formateur,+21692194065,Tunisie,Siliana,1995-11-05,"Intelligence artificielle, Innovation, Formation professionnelle, Lean management"
25453,Salah Bouzid,salah.bouzid76@live.com,formateur,+21623227840,Tunisie,Sidi Bouzid,1969-03-19,"Veille technologique, Entrepreneuriat, Cloud computing, E-commerce"
25454,Sonia Guizani,sonia.guizani241@live.com,formateur,+21629771899,Tunisie,Le Kef,1991-10-19,"Innovation, Entrepreneuriat, Conseil, Informatique, Digital transformation, Stratégie d'entreprise"
25455,Samia Miled,samia.miled34@orange.tn,formateur,+21622579804,Tunisie,Kairouan,1981-02-19,"Développement web, Cloud computing, ITIL, Management, E-commerce, Informatique"
25456,Hedi Chedly,hedi.chedly126@laposte.net,formateur,+21650474349,Tunisie,Bizerte,1981-03-24,"Business intelligence, Développement web, Veille technologique, Technologie, Cloud computing, Innovation"
25457,Olfa Ferchichi,olfa.ferchichi533@outlook.com,formateur,+21656819094,Tunisie,Manouba,1964-01-27,"Audit, IoT, Entrepreneuriat, Business intelligence, Digital transformation, Certification"
25458,Imed Mahjoub,imed.mahjoub833@live.com,formateur,+21651195109,Tunisie,Médenine,1992-06-01,"Technologie, Blockchain"
