ID,ID Utilisateur,Nom Utilisateur,Formation,Clarté,Objectifs,Niveau,Formateur,Matériels,Note Globale,Commentaires
4790,4895,Intissar Ferjani,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",4,4,4,5,3,4,"Contenu bien structuré, formateur compétent."
4791,5127,Makram Derbali,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",4,4,3,5,4,5,"Contenu bien structuré, formateur compétent."
4792,5066,Aymen Dhouib,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",4,4,3,5,4,3,Formation très intéressante et enrichissante.
4793,5186,Maher Benhassan,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,4,3,5,4,5,Formation très intéressante et enrichissante.
4794,5202,Karim Labidi,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,4,4,3,3,4,"Contenu bien structuré, formateur compétent."
4795,5062,Mariam Benhassan,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,4,4,3,3,4,"Contenu bien structuré, formateur compétent."
4796,5244,Nour Mahjoub,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",4,5,3,3,5,3,Formation très intéressante et enrichissante.
4797,5204,Emna Ghali,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,4,3,4,4,4,"Contenu bien structuré, formateur compétent."
4798,5258,Omar Ezzine,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,5,4,3,5,4,"Contenu bien structuré, formateur compétent."
4799,5086,Chedly Essid,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,4,5,3,5,3,"Contenu bien structuré, formateur compétent."
4800,5057,Takwa Ben Salah,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,5,5,5,3,5,Formation très intéressante et enrichissante.
4801,4953,Rami Gharbi,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,3,4,3,5,3,"Contenu bien structuré, formateur compétent."
4802,4932,Adel Ktari,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,3,5,3,5,5,"Contenu bien structuré, formateur compétent."
4803,4869,Ahmed Miled,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,5,3,4,4,4,Formation très intéressante et enrichissante.
4804,5290,Dorra Jouini,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,5,4,4,3,3,Formation très intéressante et enrichissante.
4805,4962,Latifa Gasmi,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",4,5,4,5,5,3,Formation très intéressante et enrichissante.
4806,5211,Makram Ezzine,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,4,3,4,3,4,Formation très intéressante et enrichissante.
4807,5783,Bilel Chaieb,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,4,3,3,4,3,"Contenu bien structuré, formateur compétent."
4808,4895,Intissar Ferjani,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,4,3,3,4,3,Formation très intéressante et enrichissante.
4809,5127,Makram Derbali,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,3,5,5,3,5,Formation très intéressante et enrichissante.
4810,5079,Emna Ghorbel,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,5,4,3,4,3,Formation très intéressante et enrichissante.
4811,5066,Aymen Dhouib,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",4,4,4,5,4,3,Formation très intéressante et enrichissante.
4812,5072,Wafa Kammoun,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,3,5,3,5,4,Formation très intéressante et enrichissante.
4813,5165,Adel Landolsi,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",4,4,4,3,5,3,"Contenu bien structuré, formateur compétent."
4814,5186,Maher Benhassan,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",4,3,3,3,4,4,Formation très intéressante et enrichissante.
4815,5202,Karim Labidi,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,5,3,4,4,5,Formation très intéressante et enrichissante.
4816,5062,Mariam Benhassan,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,4,5,4,4,3,Formation très intéressante et enrichissante.
4817,5086,Chedly Essid,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,5,3,3,3,5,Formation très intéressante et enrichissante.
4818,5057,Takwa Ben Salah,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,5,5,3,3,3,Formation très intéressante et enrichissante.
4819,4932,Adel Ktari,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",4,5,4,5,5,5,Formation très intéressante et enrichissante.
4820,4869,Ahmed Miled,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,5,3,3,3,3,Formation très intéressante et enrichissante.
4821,4962,Latifa Gasmi,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",4,3,4,5,4,3,Formation très intéressante et enrichissante.
4822,4922,Fethi Nabli,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",3,5,3,3,4,4,"Contenu bien structuré, formateur compétent."
4823,5211,Makram Ezzine,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",5,5,4,4,3,4,"Contenu bien structuré, formateur compétent."
4824,5445,Thouraya Chedly,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",5,5,3,5,4,5,"Contenu bien structuré, formateur compétent."
4825,5436,Emad Miled,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",4,4,3,5,3,4,Formation très intéressante et enrichissante.
4826,5446,Ahlem Fourati,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",3,5,3,5,5,5,Formation très intéressante et enrichissante.
4827,5507,Wided Gabsi,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",3,3,3,4,3,3,Formation très intéressante et enrichissante.
4828,5531,Hedi Fourati,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",3,3,3,3,3,3,Formation très intéressante et enrichissante.
4829,5534,Nabil Maaloul,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",5,3,5,5,4,3,"Contenu bien structuré, formateur compétent."
4830,5378,Emna Chedly,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",3,5,3,3,4,3,Formation très intéressante et enrichissante.
4831,5314,Slim Miled,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",3,3,4,5,3,3,Formation très intéressante et enrichissante.
4832,5500,Hedi Fkih,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",4,3,5,5,5,3,Formation très intéressante et enrichissante.
4833,5338,Dorra Hachicha,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",3,5,4,4,4,4,"Contenu bien structuré, formateur compétent."
4834,5318,Farouk Derbali,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",5,5,3,4,3,5,Formation très intéressante et enrichissante.
4835,5661,Amira Ben Youssef,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",3,4,4,3,4,4,Formation très intéressante et enrichissante.
4836,5317,Maher Maaloul,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",3,4,3,5,4,4,Formation très intéressante et enrichissante.
4837,5474,Yosra Mrad,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",5,3,3,5,4,5,"Contenu bien structuré, formateur compétent."
4700,4671,Test Apprenant,Formation Test - Développement Web Avancé,3,4,3,5,5,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
4701,4671,Test Apprenant,Formation Test - Développement Web Avancé,3,3,3,3,3,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
4702,4671,Test Apprenant,Formation Test - Développement Web Avancé,3,3,5,3,4,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
4703,4671,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,5,5,4,3,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
4704,4671,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,5,5,3,5,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
4705,4671,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,3,3,3,5,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
4706,4671,Test Apprenant,Formation Test - Développement Web Avancé,3,3,5,3,5,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
4707,4671,Test Apprenant,Formation Test - Développement Web Avancé,5,5,4,4,4,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
4708,4671,Test Apprenant,Formation Test - Développement Web Avancé,5,4,5,4,3,3,Formation très intéressante et bien structurée. Le formateur était très compétent.
4709,4671,Test Apprenant,Formation Test - Cybersécurité Fondamentale,5,3,4,5,4,4,Formation très intéressante et bien structurée. Le formateur était très compétent.
4710,4671,Test Apprenant,Formation Test - Cybersécurité Fondamentale,3,4,4,4,3,5,Formation très intéressante et bien structurée. Le formateur était très compétent.
