ID,Titre,ID Formateur,Nom Formateur,Date,Nombre de participants,Nombre de sessions
118,Formation Test - Développement Web Avancé,4672,Test Formateur,2025-05-03,1,3
119,Formation Test - Cybersécurité Fondamentale,4672,Test Formateur,2025-03-17,1,3
120,Formation Test - Développement Web Avancé,4672,Test Formateur,2025-05-27,1,3
121,Formation Test - Cybersécurité Fondamentale,4672,Test Formateur,2025-05-04,1,3
122,ITIL 4 Foundation - Gestion des Services IT,4812,Khadija Dhouib,2024-12-10,21,4
123,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",4695,Omar Trabelsi,2025-05-06,24,4
124,"ITIL 4 Specialist: Diriger, Planifier et Améliorer (DPI)",4760,Salma Nasri,2025-04-14,25,5
125,"ITIL 4 Strategist: Direct, Plan and Improve",4782,Zied Kammoun,2025-03-14,27,3
126,DevOps Foundation,4675,Hichem Chedly,2025-05-24,24,3
127,AWS Certified Solutions Architect - Associate,4801,Ghazi Benhassan,2025-04-12,25,3
128,Microsoft Azure Administrator,4781,Moez Horchani,2025-02-20,15,3
129,Google Cloud Professional Cloud Architect,4751,Salma Karray,2025-02-07,26,5
130,Scrum Master Certified,4780,Aymen Nasri,2025-05-31,23,4
131,Project Management Professional (PMP),4757,Chedly Bouzid,2025-05-31,23,4
132,Certified Information Systems Security Professional (CISSP),4768,Slim Hajji,2025-03-24,16,5
133,Data Science avec Python,4757,Chedly Bouzid,2025-02-25,30,4
134,Blockchain pour les entreprises,4674,Nesrine Marzouki,2024-12-15,16,3
135,Intelligence Artificielle pour managers,4693,Khadija Benhassan,2025-05-31,22,4
136,Cybersécurité opérationnelle,4763,Bilel Daoud,2025-04-09,22,5
