ID,ID Utilisateur,Nom Utilisateur,Email Utilisateur,ID Formation,Titre Formation,Date Formation,Date Achat
9220,12742,Test Apprenant,testapprenant25@gmail.com,251,Formation Test - Développement Web Avancé,2025-04-14,2025-04-11
9221,12742,Test Apprenant,testapprenant25@gmail.com,252,Formation Test - Cybersécurité Fondamentale,2025-03-15,2025-03-01
9222,12742,Test Apprenant,testapprenant25@gmail.com,253,Formation Test - Développement Web Avancé,2025-04-12,2025-04-08
9223,12742,Test Apprenant,testapprenant25@gmail.com,254,Formation Test - Cybersécurité Fondamentale,2025-04-14,2025-04-12
9224,13564,Walid Hmida,walid.hmida718@gmail.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-14
9225,13259,Marwan Hleli,marwan.hleli90@laposte.net,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-04-06
9226,12966,Lamia Chebbi,lamia.chebbi22@hotmail.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-04-02
9227,13070,Thouraya Chedly,thouraya.chedly282@yahoo.fr,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-04-01
9228,13084,Latifa Ouali,latifa.ouali659@outlook.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-23
9229,12981,Kais Gasmi,kais.gasmi292@live.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-14
9230,13015,Rania Jouini,rania.jouini682@laposte.net,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-18
9231,12939,Jihene Benhassan,jihene.benhassan629@live.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-04-03
9232,12940,Moez Mansouri,moez.mansouri78@outlook.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-19
9233,13001,Sami Karoui,sami.karoui926@gmail.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-23
9234,12950,Hajer Nasri,hajer.nasri445@outlook.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-26
9235,12994,Noureddine Gasmi,noureddine.gasmi110@orange.tn,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-04-11
9236,12962,Sami Mestiri,sami.mestiri161@yahoo.fr,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-25
9237,12992,Hatem Ghali,hatem.ghali855@outlook.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-18
9238,12995,Hedi Limam,hedi.limam996@topnet.tn,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-15
9239,13080,Ghada Mrad,ghada.mrad172@laposte.net,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-21
9240,12971,Fethi Kchir,fethi.kchir808@yahoo.fr,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-18
9241,12982,Dorsaf Meddeb,dorsaf.meddeb117@live.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-04-01
9242,12952,Farah Jelassi,farah.jelassi667@yahoo.fr,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-04-09
9243,13036,Omar Karoui,omar.karoui206@live.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-04-06
9244,13177,Manel Fourati,manel.fourati587@laposte.net,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-04-04
9245,13122,Chedly Marzouki,chedly.marzouki417@gmail.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-28
9246,12989,Emna Rekik,emna.rekik220@hotmail.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-04-08
9247,13076,Fares Hajji,fares.hajji702@live.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-04-10
9248,13012,Lobna Rekik,lobna.rekik28@gmail.com,255,ITIL 4 Foundation - Gestion des Services IT,2025-04-12,2025-03-19
9249,13104,Wassim Hajji,wassim.hajji465@live.com,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2024-12-19
9250,13736,Hajer Kammoun,hajer.kammoun594@hotmail.com,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2024-12-25
9251,13296,Latifa Karray,latifa.karray511@orange.tn,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-05
9252,13319,Kenza Essid,kenza.essid530@laposte.net,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-02
9253,13058,Samir Daoud,samir.daoud110@orange.tn,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-05
9254,13163,Mehdi Kchir,mehdi.kchir370@orange.tn,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2024-12-30
9255,12983,Ghada Sellami,ghada.sellami3@live.com,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2024-12-25
9256,12947,Noureddine Jebali,noureddine.jebali227@yahoo.fr,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2024-12-24
9257,13214,Adel Chaabane,adel.chaabane261@hotmail.com,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-12
9258,12921,Tarek Laabidi,tarek.laabidi429@orange.tn,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-03
9259,13042,Nader Fkih,nader.fkih770@gmail.com,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2024-12-19
9260,13032,Emad Omrani,emad.omrani612@hotmail.com,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-10
9261,12979,Yassine Hleli,yassine.hleli864@live.com,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-13
9262,13347,Khadija Khedher,khadija.khedher556@yahoo.fr,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-02
9263,13065,Salma Fourati,salma.fourati850@hotmail.com,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2024-12-31
9264,12899,Zohra Rekik,zohra.rekik413@laposte.net,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-10
9265,13230,Rami Nasri,rami.nasri690@yahoo.fr,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-03
9266,13854,Noureddine Hamza,noureddine.hamza195@outlook.com,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-09
9267,13803,Ikram Mejri,ikram.mejri820@laposte.net,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2024-12-22
9268,13720,Zohra Ghali,zohra.ghali250@gmail.com,256,"ITIL 4 Specialist: Créer, Livrer et Soutenir (CDS)",2025-01-16,2025-01-04
