ID,Nom,Email,Rôle,Téléphone,Pays,Ville,Date de naissance,Centres d'intérêt
5807,Aymen Gharbi,aymen.gharbi702@topnet.tn,apprenant,+21628739899,Tunisie,Médenine,1999-12-26,"Management, Qualité, Machine learning, Intelligence artificielle, Marketing digital, Mentoring"
5808,Aymen Bouslama,aymen.bouslama935@outlook.com,apprenant,+21628487039,Tunisie,Kébili,1997-06-30,"DevOps, Innovation, E-commerce, Cloud computing, Lean management, Gestion de projet"
5809,Amine Horchani,amine.horchani699@outlook.com,apprenant,+21658569562,Tunisie,Sfax,1994-10-16,"Cloud computing, Veille technologique, Communication, Conseil, ITIL"
5810,Dali Ben Salah,dali.ben.salah220@topnet.tn,apprenant,+21657314637,Tunisie,Ben Arous,2005-05-15,"Cybersécurité, Développement web"
5811,Rania Khlif,rania.khlif665@gmail.com,apprenant,+21656673897,Tunisie,Monastir,2001-01-25,"Blockchain, Coaching, E-commerce"
5812,Rami Gabsi,rami.gabsi442@yahoo.fr,apprenant,+21699993062,Tunisie,Sidi Bouzid,1997-09-25,"Digital transformation, Développement web, Machine learning"
5813,Emna Guizani,emna.guizani737@gmail.com,apprenant,+21690070573,Tunisie,Tunis,1992-09-30,"Innovation, Stratégie d'entreprise"
5814,Makram Ezzine,makram.ezzine336@hotmail.com,apprenant,+21696982443,Tunisie,Tataouine,1988-09-08,"Lean management, Coaching, Management"
5815,Salma Gharbi,salma.gharbi362@orange.tn,apprenant,+21658109598,Tunisie,Sidi Bouzid,1989-10-27,"Innovation, Management, Informatique, Mentoring, Qualité"
5816,Rami Hmida,rami.hmida595@live.com,apprenant,+21624041311,Tunisie,Sfax,2006-04-10,"Gestion de projet, E-commerce"
5817,Wassim Mestiri,wassim.mestiri394@laposte.net,apprenant,+21692023729,Tunisie,Tunis,1989-05-02,"Marketing digital, E-commerce"
5818,Dali Karray,dali.karray744@live.com,apprenant,+21692653196,Tunisie,Gafsa,2005-04-19,"Technologie, DevOps, Marketing digital"
5819,Wassim Dridi,wassim.dridi45@laposte.net,apprenant,+21628479957,Tunisie,Le Kef,1998-08-10,"Certification, Finance, ITIL, Innovation, Intelligence artificielle, Machine learning"
5820,Rami Laabidi,rami.laabidi824@topnet.tn,apprenant,+21690971207,Tunisie,Béja,2003-08-08,"Veille technologique, Gestion de projet, Qualité, Formation professionnelle"
5821,Moez Jemli,moez.jemli988@live.com,apprenant,+21691516382,Tunisie,Gafsa,1989-06-16,"Veille technologique, DevOps, Marketing digital, Finance, Coaching"
5822,Chiraz Hamdi,chiraz.hamdi403@outlook.com,apprenant,+21622004971,Tunisie,Le Kef,1989-06-21,"Finance, Conseil, Formation professionnelle"
5823,Moncef Jemli,moncef.jemli868@live.com,apprenant,+21623997684,Tunisie,Béja,1995-07-12,"Communication, Informatique, Lean management, Leadership"
4671,Test Apprenant,testapprenant25@gmail.com,apprenant,+21698123456,Tunisie,Tunis,2000-10-19,"Développement web, Cloud computing"
4672,Test Formateur,formateurtest7@gmail.com,formateur,+21697123456,Tunisie,Sfax,1990-10-06,"Gestion de projet, DevOps"
